"","years","acc","roc","fpr","fnr","tpr","tnr"
"1",1976,0.454545454545455,0.75,0.136363636363636,0.409090909090909,0.409090909090909,0.0454545454545455
"2",1977,0.852941176470588,0.8375,0.147058823529412,0,0.764705882352941,0.0882352941176471
"3",1978,0.767441860465116,0.797261904761905,0.232558139534884,0,0.720930232558139,0.0465116279069767
"4",1979,0.763157894736842,0.861407407407407,0.210526315789474,0.0263157894736842,0.710526315789474,0.0526315789473684
"5",1980,0.807692307692308,0.843229166666667,0.115384615384615,0.0769230769230769,0.730769230769231,0.0769230769230769
"6",1981,0.741935483870968,0.859715476190476,0.193548387096774,0.0645161290322581,0.709677419354839,0.032258064516129
"7",1982,0.615384615384615,0.815340073529412,0.256410256410256,0.128205128205128,0.564102564102564,0.0512820512820513
"8",1983,0.777777777777778,0.824128759398496,0.138888888888889,0.0833333333333333,0.666666666666667,0.111111111111111
"9",1984,0.657142857142857,0.8321259175607,0.314285714285714,0.0285714285714286,0.628571428571429,0.0285714285714286
"10",1985,0.619047619047619,0.843435763888889,0.30952380952381,0.0714285714285714,0.595238095238095,0.0238095238095238
"11",1986,0.805555555555556,0.849841857730747,0.194444444444444,0,0.722222222222222,0.0833333333333333
"12",1987,0.757575757575758,0.85290381400209,0.151515151515152,0.0909090909090909,0.636363636363636,0.121212121212121
"13",1988,0.704545454545455,0.853677004419192,0.227272727272727,0.0681818181818182,0.613636363636364,0.0909090909090909
"14",1989,0.733333333333333,0.865649521774522,0.155555555555556,0.111111111111111,0.6,0.133333333333333
"15",1990,0.62962962962963,0.86738683246578,0.296296296296296,0.0740740740740741,0.444444444444444,0.185185185185185
"16",1991,0.870967741935484,0.881348658365785,0.0645161290322581,0.0645161290322581,0.612903225806452,0.258064516129032
"17",1992,0.742424242424242,0.883281386021639,0.151515151515152,0.106060606060606,0.484848484848485,0.257575757575758
"18",1993,0.67741935483871,0.890094530986153,0.129032258064516,0.193548387096774,0.483870967741935,0.193548387096774
"19",1994,0.782608695652174,0.88163835258944,0.144927536231884,0.072463768115942,0.666666666666667,0.115942028985507
"20",1995,0.828125,0.895685231307435,0.09375,0.078125,0.625,0.203125
"21",1996,0.797297297297297,0.898791859324646,0.175675675675676,0.027027027027027,0.581081081081081,0.216216216216216
"22",1997,0.735849056603774,0.908915523939662,0.0943396226415094,0.169811320754717,0.566037735849057,0.169811320754717
"23",1998,0.810344827586207,0.9020460974198,0.137931034482759,0.0517241379310345,0.689655172413793,0.120689655172414
"24",1999,0.746268656716418,0.905560093483895,0.149253731343284,0.104477611940299,0.552238805970149,0.194029850746269
"25",2000,0.741935483870968,0.909488674145413,0.161290322580645,0.0967741935483871,0.580645161290323,0.161290322580645
"26",2001,0.795918367346939,0.909713073895229,0.142857142857143,0.0612244897959184,0.612244897959184,0.183673469387755
"27",2002,0.818181818181818,0.911544270402594,0,0.181818181818182,0.651515151515151,0.166666666666667
"28",2003,0.813953488372093,0.911049132027393,0.162790697674419,0.0232558139534884,0.627906976744186,0.186046511627907
"29",2004,0.849315068493151,0.910473890414093,0.0821917808219178,0.0684931506849315,0.63013698630137,0.219178082191781
"30",2005,0.788461538461538,0.911893156369901,0.134615384615385,0.0769230769230769,0.519230769230769,0.269230769230769
"31",2006,0.865671641791045,0.912283538555169,0.0149253731343284,0.119402985074627,0.791044776119403,0.0746268656716418
"32",2007,0.736111111111111,0.91259065173071,0.180555555555556,0.0833333333333333,0.666666666666667,0.0694444444444444
"33",2008,0.735849056603774,0.911481678074084,0.188679245283019,0.0754716981132075,0.528301886792453,0.207547169811321
"34",2009,0.846153846153846,0.909832932297587,0.153846153846154,0,0.738461538461539,0.107692307692308
"35",2010,0.838235294117647,0.909040514729127,0.132352941176471,0.0294117647058824,0.558823529411765,0.279411764705882
"36",2011,0.905405405405405,0.914336411988508,0.027027027027027,0.0675675675675676,0.621621621621622,0.283783783783784
"37",2012,0.8125,0.91621907620637,0.09375,0.09375,0.640625,0.171875
"38",2013,0.788461538461538,0.916213436123929,0.0769230769230769,0.134615384615385,0.519230769230769,0.269230769230769
"39",2014,0.825396825396825,0.914542101101727,0.111111111111111,0.0634920634920635,0.666666666666667,0.158730158730159
"40",2015,0.854545454545454,0.914371004696725,0.0545454545454545,0.0909090909090909,0.545454545454545,0.309090909090909
"41",2016,0.709677419354839,0.914038427137,0.112903225806452,0.17741935483871,0.564516129032258,0.145161290322581
"42",2017,0.80952380952381,0.911023100833763,0.119047619047619,0.0714285714285714,0.666666666666667,0.142857142857143
