"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2207","Czech Republic",2018-01-27,"peace",0.0410379947139905,0.127272727272727,"peace"
"2208","Finland",2018-01-28,"peace",0.0376916310495036,0.0909090909090909,"peace"
"2209","Costa Rica",2018-02-04,"peace",0.0414187777826975,0.145454545454545,"peace"
"2210","Cyprus",2018-02-04,"peace",0.0373934918095409,0.0727272727272727,"peace"
"2211","Djibouti",2018-02-23,"peace",0.243830060082151,0.636363636363636,"peace"
"2212","El Salvador",2018-03-04,"peace",0.0658942578053843,0.254545454545455,"peace"
"2213","Italy",2018-03-04,"vio",0.0372679398574077,0.0545454545454545,"peace"
"2214","Sierra Leone",2018-03-07,"peace",0.163102207466823,0.527272727272727,"peace"
"2215","Colombia",2018-03-11,"peace",0.120795918573062,0.472727272727273,"peace"
"2216","Cuba",2018-03-11,"peace",0.203470732604555,0.581818181818182,"peace"
"2217","Russia",2018-03-18,"peace",0.354740167499986,0.690909090909091,"peace"
"2218","Turkmenistan",2018-03-25,"peace",0.0773223253593442,0.290909090909091,"peace"
"2219","Egypt",2018-03-28,"peace",0.80932568017402,0.963636363636364,"vio"
"2220","Sierra Leone",2018-03-31,"vio",0.160307095619277,0.509090909090909,"peace"
"2221","Costa Rica",2018-04-01,"peace",0.0425606671465234,0.163636363636364,"peace"
"2222","Hungary",2018-04-08,"peace",0.109002295711224,0.436363636363636,"peace"
"2223","Azerbaijan",2018-04-11,"peace",0.680265553442966,0.836363636363636,"vio"
"2224","Montenegro",2018-04-15,"vio",0.043001302576509,0.181818181818182,"peace"
"2225","Bhutan",2018-04-20,"peace",0.103221308772556,0.418181818181818,"peace"
"2226","Paraguay",2018-04-22,"peace",0.0979781273288893,0.372727272727273,"peace"
"2227","Paraguay",2018-04-22,"peace",0.0979781273288893,0.372727272727273,"peace"
"2228","Malaysia",2018-05-09,"peace",0.351535706205077,0.672727272727273,"peace"
"2229","East Timor",2018-05-12,"vio",0.060429070208902,0.236363636363636,"peace"
"2230","Iraq",2018-05-12,"peace",0.482885996577425,0.781818181818182,"peace"
"2231","Venezuela",2018-05-20,"vio",0.453151928353475,0.763636363636364,"peace"
"2232","Slovenia",2018-06-03,"peace",0.0363827114330333,0.0363636363636364,"peace"
"2233","Colombia",2018-06-17,"peace",0.11055113397002,0.454545454545455,"peace"
"2234","Turkey",2018-06-24,"vio",0.613298390817079,0.8,"vio"
"2235","Turkey",2018-06-24,"vio",0.61353623308046,0.818181818181818,"vio"
"2236","Mexico",2018-07-01,"peace",0.225170947577931,0.609090909090909,"peace"
"2237","Mexico",2018-07-01,"peace",0.225170947577931,0.609090909090909,"peace"
"2238","Pakistan",2018-07-25,"vio",0.770526959575203,0.927272727272727,"vio"
"2239","Cambodia",2018-07-29,"vio",0.756543092769071,0.909090909090909,"vio"
"2240","Mali",2018-07-29,"vio",0.144810740257279,0.490909090909091,"peace"
"2241","Zimbabwe",2018-07-30,"vio",0.815772150147881,0.990909090909091,"vio"
"2242","Zimbabwe",2018-07-30,"vio",0.815772150147881,0.990909090909091,"vio"
"2243","Rwanda",2018-09-03,"peace",0.274155362546242,0.654545454545455,"peace"
"2244","Sweden",2018-09-09,"peace",0.0380868881689479,0.109090909090909,"peace"
"2245","Latvia",2018-10-06,"peace",0.0514534111246158,0.218181818181818,"peace"
"2246","Brazil",2018-10-07,"peace",0.0866968301041319,0.345454545454545,"peace"
"2247","Cameroon",2018-10-07,"vio",0.201254143694662,0.554545454545455,"peace"
"2248","Cameroon",2018-10-07,"vio",0.201254143694662,0.554545454545455,"peace"
"2249","Bhutan",2018-10-18,"peace",0.0837212844954179,0.309090909090909,"peace"
"2250","Afghanistan",2018-10-20,"vio",0.718962845072419,0.890909090909091,"vio"
"2251","Brazil",2018-10-28,"peace",0.0865234368382159,0.327272727272727,"peace"
"2252","Georgia",2018-10-28,"peace",0.073616498922611,0.272727272727273,"peace"
"2253","United States of America",2018-11-06,"peace",0.0430083036932932,0.2,"peace"
"2254","Madagascar",2018-11-07,"peace",0.435968406476078,0.736363636363636,"peace"
"2255","Madagascar",2018-11-07,"peace",0.435968406476078,0.736363636363636,"peace"
"2256","Ireland",2018-11-10,"peace",0.0359559251132762,0.0181818181818182,"peace"
"2257","Fiji",2018-11-14,"peace",0.100925645179406,0.4,"peace"
"2258","Madagascar",2018-12-19,"peace",0.376412883792743,0.709090909090909,"peace"
"2259","Democratic Republic of Congo",2018-12-23,NA,0.700152876762494,0.863636363636364,"vio"
"2260","Democratic Republic of Congo",2018-12-23,NA,0.700152876762494,0.863636363636364,"vio"
"2261","Bangladesh",2018-12-30,NA,0.782272324173035,0.945454545454545,"vio"
