"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2205","Czech Republic","1/27/2018","peace",0.0410647363524107,0.192982456140351,"peace"
"2206","Finland","1/28/2018","peace",0.0304668076615027,0.087719298245614,"peace"
"2207","Costa Rica","2/4/2018","peace",0.0312626040411247,0.105263157894737,"peace"
"2208","Cyprus","2/4/2018","peace",0.0302931309122128,0.0701754385964912,"peace"
"2209","Djibouti","2/23/2018","peace",0.272429528858735,0.649122807017544,"peace"
"2210","El Salvador","3/4/2018","peace",0.0714716148924712,0.315789473684211,"peace"
"2211","Italy","3/4/2018","vio",0.0295947594093322,0.0526315789473684,"peace"
"2212","Sierra Leone","3/7/2018","peace",0.107499448300334,0.368421052631579,"peace"
"2213","Colombia","3/11/2018","peace",0.0645878529196132,0.263157894736842,"peace"
"2214","Cuba","3/11/2018","peace",0.165027293715102,0.543859649122807,"peace"
"2215","Russia","3/18/2018","peace",0.479997194358107,0.789473684210526,"vio"
"2216","Turkmenistan","3/25/2018","peace",0.0670601130576043,0.298245614035088,"peace"
"2217","Egypt","3/28/2018","peace",0.680367884813051,0.912280701754386,"vio"
"2218","Sierra Leone","3/31/2018","vio",0.101593254114002,0.333333333333333,"peace"
"2219","Costa Rica","4/1/2018","peace",0.0318754818218532,0.12280701754386,"peace"
"2220","Hungary","4/8/2018","peace",0.174969967296354,0.56140350877193,"peace"
"2221","Azerbaijan","4/11/2018","peace",0.697406932644178,0.929824561403509,"vio"
"2222","Montenegro","4/15/2018","vio",0.0376383273209319,0.175438596491228,"peace"
"2223","Bhutan","4/20/2018","peace",0.133166628099433,0.508771929824561,"peace"
"2224","Paraguay","4/22/2018","peace",0.112514583359686,0.394736842105263,"peace"
"2225","Paraguay","4/22/2018","peace",0.112514583359686,0.394736842105263,"peace"
"2226","Malaysia","5/9/2018","peace",0.408625303696868,0.736842105263158,"vio"
"2227","East Timor","5/12/2018","vio",0.0603494370149653,0.228070175438596,"peace"
"2228","Iraq","5/12/2018","peace",0.446237631017153,0.771929824561403,"vio"
"2229","Venezuela","5/20/2018","vio",0.417697859224432,0.754385964912281,"vio"
"2230","Slovenia","6/3/2018","peace",0.029244992655294,0.0175438596491228,"peace"
"2231","Colombia","6/17/2018","peace",0.0627894128263304,0.245614035087719,"peace"
"2232","Turkey","6/24/2018","vio",0.592454505905458,0.824561403508772,"vio"
"2233","Turkey","6/24/2018","vio",0.5743699615667,0.807017543859649,"vio"
"2234","Mexico","7/1/2018","peace",0.116633235546711,0.464912280701754,"peace"
"2235","Mexico","7/1/2018","peace",0.116633235546711,0.464912280701754,"peace"
"2236","Pakistan","7/25/2018","vio",0.745197389678863,0.947368421052632,"vio"
"2237","Mali","7/29/2018","vio",0.184296561360182,0.578947368421053,"peace"
"2238","Zimbabwe","7/30/2018","vio",0.757699304361284,0.973684210526316,"vio"
"2239","Zimbabwe","7/30/2018","vio",0.757699304361284,0.973684210526316,"vio"
"2240","Rwanda","9/3/2018","peace",0.258117501334246,0.631578947368421,"peace"
"2241","Sweden","9/9/2018","peace",0.0323364903728049,0.140350877192982,"peace"
"2242","Latvia","10/6/2018","peace",0.0502162430464473,0.210526315789474,"peace"
"2243","Cameroon","10/7/2018","vio",0.201321583863828,0.605263157894737,"peace"
"2244","Cameroon","10/7/2018","vio",0.201321583863828,0.605263157894737,"peace"
"2245","Brazil","10/7/2018","peace",0.114445824699571,0.421052631578947,"peace"
"2246","Georgia","10/28/2018",NA,0.0662346517643444,0.280701754385965,"peace"
"2247","Brazil","10/28/2018",NA,0.115300659232601,0.43859649122807,"peace"
"2248","Bhutan","11/1/2018",NA,0.102785929787211,0.350877192982456,"peace"
"2249","Chad","11/1/2018",NA,0.763437291159421,1,"vio"
"2250","United States of America","11/6/2018",NA,0.0373551592571149,0.157894736842105,"peace"
"2251","Ireland","11/10/2018",NA,0.0295178756230313,0.0350877192982456,"peace"
"2252","Guinea-Bissau","11/18/2018",NA,0.161342111454792,0.526315789473684,"peace"
"2253","Madagascar","11/24/2018",NA,0.301032228628814,0.675438596491228,"vio"
"2254","Madagascar","11/24/2018",NA,0.301032228628814,0.675438596491228,"vio"
"2255","Congo","12/1/2018",NA,0.385458242719271,0.710526315789474,"vio"
"2256","Congo","12/1/2018",NA,0.385458242719271,0.710526315789474,"vio"
"2257","Fiji","12/1/2018",NA,0.125046617906982,0.491228070175439,"peace"
"2258","Mali","12/1/2018",NA,0.679419637835695,0.859649122807018,"vio"
"2259","Democratic Republic of Congo","12/23/2018",NA,0.679996658249231,0.885964912280702,"vio"
"2260","Democratic Republic of Congo","12/23/2018",NA,0.679996658249231,0.885964912280702,"vio"
"2261","Bangladesh","12/31/2018",NA,0.66950993936755,0.842105263157895,"vio"
