"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2262","El Salvador",2019-02-03,"peace",0.0711025625808966,0.184210526315789,"peace"
"2263","Nigeria",2019-02-23,"vio",0.736345521097725,0.881578947368421,"vio"
"2264","Nigeria",2019-02-23,"vio",0.736345521097725,0.881578947368421,"vio"
"2265","Moldova",2019-02-24,"vio",0.191485320492613,0.473684210526316,"peace"
"2266","Senegal",2019-02-24,"vio",0.258553010116101,0.605263157894737,"peace"
"2267","Estonia",2019-03-03,"peace",0.0901319647949816,0.315789473684211,"peace"
"2268","Guinea-Bissau",2019-03-10,"peace",0.124991892142533,0.342105263157895,"peace"
"2269","Thailand",2019-03-24,"peace",0.485069375672473,0.697368421052632,"peace"
"2270","Thailand",2019-03-24,"peace",0.485069375672473,0.697368421052632,"peace"
"2271","Ukraine",2019-03-31,"peace",0.187997118936256,0.447368421052632,"peace"
"2272","India",2019-04-11,NA,0.425901308832521,0.657894736842105,"peace"
"2273","Finland",2019-04-14,NA,0.0654578849308145,0.157894736842105,"peace"
"2274","Mali",2019-04-16,NA,0.674418892697498,0.789473684210526,"vio"
"2275","Indonesia",2019-04-17,NA,0.203677742543032,0.565789473684211,"peace"
"2276","Indonesia",2019-04-17,NA,0.203677742543032,0.565789473684211,"peace"
"2277","Benin",2019-04-28,NA,0.160059350281884,0.421052631578947,"peace"
"2278","Panama",2019-05-05,NA,0.0481445173786548,0.0789473684210526,"peace"
"2279","Philippines",2019-05-13,NA,0.673473443128625,0.763157894736842,"vio"
"2280","Malawi",2019-05-21,NA,0.749041477387262,0.934210526315789,"vio"
"2281","Malawi",2019-05-21,NA,0.749041477387262,0.934210526315789,"vio"
"2282","South Africa",2019-05-30,NA,0.193290106677617,0.513157894736842,"peace"
"2283","South Africa",2019-05-30,NA,0.193290106677617,0.513157894736842,"peace"
"2284","Guatemala",2019-06-16,NA,0.0753962682464659,0.25,"peace"
"2285","Guatemala",2019-06-16,NA,0.0753962682464659,0.25,"peace"
"2286","Afghanistan",2019-06-20,NA,0.755181023683937,0.973684210526316,"vio"
"2287","Mauritania",2019-06-30,NA,0.335141664788277,0.631578947368421,"peace"
"2288","Algeria",2019-07-31,NA,0.62250203127828,0.736842105263158,"vio"
"2289","Mozambique",2019-10-15,NA,0.690218233023072,0.828947368421053,"vio"
"2290","Mozambique",2019-10-15,NA,0.690218233023072,0.828947368421053,"vio"
"2291","Argentina",2019-10-27,NA,0.0621883402757147,0.118421052631579,"peace"
"2292","Argentina",2019-10-27,NA,0.0621883402757147,0.118421052631579,"peace"
"2293","Ukraine",2019-10-27,NA,0.154313272723922,0.394736842105263,"peace"
"2294","Botswana",2019-10-31,NA,0.153380975969473,0.368421052631579,"peace"
"2295","Cameroon",2019-10-31,NA,0.872492473058233,1,"vio"
"2296","Uruguay",2019-10-31,NA,0.0351190993714594,0.0394736842105263,"peace"
"2297","Uruguay",2019-10-31,NA,0.0351190993714594,0.0394736842105263,"peace"
"2298","Namibia",2019-11-30,NA,0.0713106534921727,0.210526315789474,"peace"
"2299","Tunisia",2019-12-31,NA,0.0800912367556392,0.289473684210526,"peace"
