"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2272","India",2019-04-11,NA,0.425901308832521,0.678571428571429,"peace"
"2273","Finland",2019-04-14,NA,0.0654578849308145,0.214285714285714,"peace"
"2274","Mali",2019-04-16,NA,0.674418892697498,0.785714285714286,"vio"
"2275","Indonesia",2019-04-17,NA,0.203677742543032,0.589285714285714,"peace"
"2276","Indonesia",2019-04-17,NA,0.203677742543032,0.589285714285714,"peace"
"2277","Benin",2019-04-28,NA,0.160059350281884,0.464285714285714,"peace"
"2278","Panama",2019-05-05,NA,0.0481445173786548,0.107142857142857,"peace"
"2279","Philippines",2019-05-13,NA,0.673473443128625,0.75,"vio"
"2280","Malawi",2019-05-21,NA,0.749041477387262,0.910714285714286,"vio"
"2281","Malawi",2019-05-21,NA,0.749041477387262,0.910714285714286,"vio"
"2282","South Africa",2019-05-30,NA,0.193290106677617,0.517857142857143,"peace"
"2283","South Africa",2019-05-30,NA,0.193290106677617,0.517857142857143,"peace"
"2284","Guatemala",2019-06-16,NA,0.0753962682464659,0.303571428571429,"peace"
"2285","Guatemala",2019-06-16,NA,0.0753962682464659,0.303571428571429,"peace"
"2286","Afghanistan",2019-06-20,NA,0.755181023683937,0.964285714285714,"vio"
"2287","Mauritania",2019-06-30,NA,0.335141664788277,0.642857142857143,"peace"
"2288","Algeria",2019-07-31,NA,0.62250203127828,0.714285714285714,"vio"
"2289","Mozambique",2019-10-15,NA,0.690218233023072,0.839285714285714,"vio"
"2290","Mozambique",2019-10-15,NA,0.690218233023072,0.839285714285714,"vio"
"2291","Argentina",2019-10-27,NA,0.0621883402757147,0.160714285714286,"peace"
"2292","Argentina",2019-10-27,NA,0.0621883402757147,0.160714285714286,"peace"
"2293","Ukraine",2019-10-27,NA,0.154313272723922,0.428571428571429,"peace"
"2294","Botswana",2019-10-31,NA,0.153380975969473,0.392857142857143,"peace"
"2295","Cameroon",2019-10-31,NA,0.872492473058233,1,"vio"
"2296","Uruguay",2019-10-31,NA,0.0351190993714594,0.0535714285714286,"peace"
"2297","Uruguay",2019-10-31,NA,0.0351190993714594,0.0535714285714286,"peace"
"2298","Namibia",2019-11-30,NA,0.0713106534921727,0.25,"peace"
"2299","Tunisia",2019-12-31,NA,0.0800912367556392,0.357142857142857,"peace"
